teamId,teamPosition,championName,win,kills,deaths,assists,visionScore,matchId
200,UTILITY,Maokai,False,10,20,32,0,SG2_78864688
100,TOP,DrMundo,True,6,5,9,16,SG2_79446129
100,JUNGLE,Rengar,True,12,4,8,28,SG2_79446129
100,MIDDLE,Ahri,True,12,6,17,25,SG2_79446129
100,BOTTOM,Lucian,True,12,6,7,26,SG2_79446129
100,UTILITY,Milio,True,2,5,22,64,SG2_79446129
200,TOP,Zed,False,8,12,2,12,SG2_79446129
200,JUNGLE,Viego,False,7,9,6,33,SG2_79446129
200,MIDDLE,Yasuo,False,8,4,1,23,SG2_79446129
200,BOTTOM,Jhin,False,0,9,9,16,SG2_79446129
200,UTILITY,Karma,False,3,10,11,76,SG2_79446129
100,TOP,Vladimir,False,3,6,3,10,SG2_78888943
100,JUNGLE,Briar,False,4,3,7,19,SG2_78888943
100,MIDDLE,Yone,False,7,3,2,19,SG2_78888943
100,BOTTOM,Kaisa,False,3,6,1,16,SG2_78888943
100,UTILITY,Zilean,False,0,5,5,54,SG2_78888943
200,TOP,Ambessa,True,4,6,5,10,SG2_78888943
200,JUNGLE,Nunu,True,3,4,10,34,SG2_78888943
200,MIDDLE,Ahri,True,7,2,0,24,SG2_78888943
200,BOTTOM,Jhin,True,4,2,12,22,SG2_78888943
200,UTILITY,Senna,True,5,3,15,80,SG2_78888943
100,TOP,Darius,False,11,9,5,30,SG2_79412261
100,JUNGLE,LeeSin,False,12,6,8,57,SG2_79412261
100,MIDDLE,Vex,False,5,5,17,58,SG2_79412261
100,BOTTOM,MissFortune,False,6,5,14,37,SG2_79412261
100,UTILITY,Thresh,False,2,8,19,143,SG2_79412261
200,TOP,Ambessa,True,4,11,4,18,SG2_79412261
200,JUNGLE,Ivern,True,6,7,17,41,SG2_79412261
200,MIDDLE,TwistedFate,True,3,8,16,46,SG2_79412261
200,BOTTOM,Twitch,True,19,6,5,29,SG2_79412261
200,UTILITY,Milio,True,1,4,25,116,SG2_79412261
100,MIDDLE,TwistedFate,False,7,15,28,0,SG2_78520173
100,TOP,Chogath,False,13,11,18,0,SG2_78520173
100,TOP,Aatrox,False,12,14,18,0,SG2_78520173
100,BOTTOM,Draven,False,15,11,19,0,SG2_78520173
100,UTILITY,Zilean,False,9,10,33,0,SG2_78520173
200,TOP,Warwick,True,9,14,24,0,SG2_78520173
200,MIDDLE,Zed,True,18,12,20,0,SG2_78520173
200,TOP,Kayle,True,7,11,31,0,SG2_78520173
